strategy,regime,session,R
secondentry,bear2022,NY,-1.08
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,Asian,1.3400000000000727
secondentry,bear2022,NY,-1.08
secondentry,bear2022,Asian,1.1199999999999999
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,London,0.8200000000000001
secondentry,bear2022,London,-1.08
secondentry,bear2022,London,0.8200000000000001
secondentry,bear2022,NY,0.5239999999999964
secondentry,bear2022,Asian,0.52
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,London,0.8200000000000001
secondentry,bear2022,NY,-1.0460829493087567
secondentry,bear2022,NY,-1.08
secondentry,bear2022,NY,-1.08
secondentry,bear2022,Asian,0.8200000000000001
secondentry,bear2022,Asian,0.52
secondentry,bear2022,Asian,0.52
secondentry,bear2022,Asian,0.52
secondentry,bear2022,London,-1.08
secondentry,bear2022,London,0.52
secondentry,bear2022,London,2.644000000000069
secondentry,bear2022,London,0.52
secondentry,bear2022,NY,0.5359999999999855
secondentry,bear2022,NY,0.52
secondentry,bear2022,NY,0.6120000000000073
secondentry,bear2022,NY,-1.08
secondentry,bear2022,Asian,0.52
secondentry,bear2022,Asian,1.1199999999999999
secondentry,bear2022,London,-1.08
secondentry,bear2022,London,0.8679999999999564
secondentry,bear2022,NY,2.52
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,London,-1.08
secondentry,bear2022,NY,0.52
secondentry,bear2022,Asian,0.52
secondentry,bear2022,London,0.7800000000000364
secondentry,bear2022,London,0.52
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,Asian,0.52
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,London,0.9546485260770469
secondentry,bear2022,London,0.8399999999999819
secondentry,bear2022,NY,0.52
secondentry,bear2022,Asian,1.1199999999999999
secondentry,bear2022,Asian,-1.08
secondentry,bear2022,London,-1.08
secondentry,bear2022,London,-1.08
secondentry,bear2022,NY,0.8200000000000001
secondentry,bear2022,Asian,0.52
secondentry,bear2022,Asian,0.52
secondentry,bear2022,NY,0.6559999999999673
