ts,open,high,low,close,volume,spread
2021-06-01 00:00:00+00:00,1907.978,1908.565,1907.445,1907.585,435,0.36892643678159864
2021-06-01 00:05:00+00:00,1907.615,1907.615,1906.628,1907.138,399,0.31090726817042813
2021-06-01 00:10:00+00:00,1907.098,1907.188,1906.128,1906.875,496,0.3174899193548321
2021-06-01 00:15:00+00:00,1906.885,1907.445,1906.785,1907.435,293,0.353894197952224
2021-06-01 00:20:00+00:00,1907.485,1907.495,1906.985,1907.025,1204,0.31723172757474566
2021-06-01 00:25:00+00:00,1907.025,1907.335,1906.925,1907.305,234,0.2967564102563803
2021-06-01 00:30:00+00:00,1907.315,1907.705,1907.095,1907.635,222,0.3454909909909995
2021-06-01 00:35:00+00:00,1907.645,1907.848,1907.448,1907.638,224,0.37598660714286325
2021-06-01 00:40:00+00:00,1907.638,1907.875,1906.858,1907.468,300,0.3546166666666674
2021-06-01 00:45:00+00:00,1907.465,1907.895,1907.138,1907.698,270,0.3589629629629775
2021-06-01 00:50:00+00:00,1907.705,1908.525,1907.658,1908.175,241,0.3692821576763404
2021-06-01 00:55:00+00:00,1908.188,1908.555,1907.878,1907.985,389,0.3771208226221256
2021-06-01 01:00:00+00:00,1907.985,1909.218,1906.138,1906.458,1790,0.40173016759776053
2021-06-01 01:05:00+00:00,1906.478,1907.555,1906.058,1907.125,717,0.3687322175732241
2021-06-01 01:10:00+00:00,1907.085,1908.718,1907.035,1907.988,900,0.37021999999999355
2021-06-01 01:15:00+00:00,1908.028,1909.588,1908.028,1908.605,1044,0.3430095785440564
2021-06-01 01:20:00+00:00,1908.628,1909.945,1908.555,1909.765,890,0.3403067415730376
2021-06-01 01:25:00+00:00,1909.715,1909.765,1909.048,1909.665,738,0.36092547425474353
2021-06-01 01:30:00+00:00,1909.655,1910.385,1909.515,1910.168,758,0.292474934036959
2021-06-01 01:35:00+00:00,1910.158,1911.775,1910.028,1911.708,966,0.33857142857141603
2021-06-01 01:40:00+00:00,1911.665,1912.398,1911.405,1912.318,843,0.3470913404507772
2021-06-01 01:45:00+00:00,1912.305,1913.155,1912.005,1913.135,698,0.35381805157592067
