ts,open,high,low,close,volume
2026-04-06 13:20:00+00:00,184.155,184.18,184.15,184.163,178
2026-04-06 13:25:00+00:00,184.159,184.161,184.128,184.144,210
2026-04-06 13:30:00+00:00,184.144,184.156,184.136,184.152,238
2026-04-06 13:35:00+00:00,184.152,184.173,184.149,184.167,220
2026-04-06 13:40:00+00:00,184.167,184.189,184.167,184.175,202
2026-04-06 13:45:00+00:00,184.175,184.181,184.095,184.166,940
2026-04-06 13:50:00+00:00,184.166,184.174,184.146,184.146,488
2026-04-06 13:55:00+00:00,184.146,184.175,184.142,184.145,284
2026-04-06 14:00:00+00:00,184.145,184.175,184.145,184.168,401
2026-04-06 14:05:00+00:00,184.168,184.181,184.151,184.174,332
2026-04-06 14:10:00+00:00,184.174,184.187,184.151,184.153,427
2026-04-06 14:15:00+00:00,184.153,184.179,184.144,184.162,372
2026-04-06 14:20:00+00:00,184.162,184.188,184.155,184.165,374
2026-04-06 14:25:00+00:00,184.165,184.202,184.163,184.199,332
2026-04-06 14:30:00+00:00,184.199,184.205,184.181,184.197,326
2026-04-06 14:35:00+00:00,184.197,184.223,184.186,184.217,342
2026-04-06 14:40:00+00:00,184.217,184.225,184.197,184.199,248
2026-04-06 14:45:00+00:00,184.199,184.227,184.194,184.215,339
2026-04-06 14:50:00+00:00,184.215,184.237,184.2,184.219,274
2026-04-06 14:55:00+00:00,184.219,184.241,184.213,184.221,276
2026-04-06 15:00:00+00:00,184.221,184.233,184.187,184.198,483
2026-04-06 15:05:00+00:00,184.198,184.216,184.178,184.186,294
2026-04-06 15:10:00+00:00,184.186,184.191,184.173,184.178,276
2026-04-06 15:15:00+00:00,184.178,184.182,184.16,184.16,267
2026-04-06 15:20:00+00:00,184.16,184.197,184.154,184.187,465
2026-04-06 15:25:00+00:00,184.187,184.188,184.172,184.184,305
2026-04-06 15:30:00+00:00,184.184,184.209,184.177,184.196,301
2026-04-06 15:35:00+00:00,184.196,184.233,184.191,184.23,343
2026-04-06 15:40:00+00:00,184.23,184.236,184.205,184.22,306
2026-04-06 15:45:00+00:00,184.22,184.233,184.183,184.183,418
2026-04-06 15:50:00+00:00,184.183,184.193,184.134,184.173,555
2026-04-06 15:55:00+00:00,184.173,184.19,184.164,184.171,435
2026-04-06 16:00:00+00:00,184.17,184.201,184.142,184.198,610
2026-04-06 16:05:00+00:00,184.199,184.231,184.178,184.219,593
2026-04-06 16:10:00+00:00,184.219,184.244,184.212,184.241,390
2026-04-06 16:15:00+00:00,184.241,184.245,184.217,184.218,346
2026-04-06 16:20:00+00:00,184.218,184.267,184.215,184.261,394
2026-04-06 16:25:00+00:00,184.261,184.28,184.247,184.269,447
2026-04-06 16:30:00+00:00,184.269,184.302,184.247,184.278,788
2026-04-06 16:35:00+00:00,184.278,184.299,184.277,184.283,654
2026-04-06 16:40:00+00:00,184.283,184.3,184.271,184.294,528
2026-04-06 16:45:00+00:00,184.293,184.333,184.285,184.31,665
