ts,open,high,low,close,volume
2026-04-06 13:20:00+00:00,211.235,211.284,211.235,211.252,205
2026-04-06 13:25:00+00:00,211.249,211.257,211.214,211.233,349
2026-04-06 13:30:00+00:00,211.233,211.249,211.221,211.231,274
2026-04-06 13:35:00+00:00,211.231,211.26,211.225,211.256,460
2026-04-06 13:40:00+00:00,211.256,211.265,211.217,211.245,303
2026-04-06 13:45:00+00:00,211.245,211.278,211.164,211.251,1245
2026-04-06 13:50:00+00:00,211.251,211.27,211.209,211.21,624
2026-04-06 13:55:00+00:00,211.21,211.227,211.187,211.189,404
2026-04-06 14:00:00+00:00,211.189,211.212,211.165,211.191,783
2026-04-06 14:05:00+00:00,211.191,211.208,211.158,211.171,678
2026-04-06 14:10:00+00:00,211.171,211.181,211.141,211.154,718
2026-04-06 14:15:00+00:00,211.154,211.182,211.142,211.147,695
2026-04-06 14:20:00+00:00,211.147,211.191,211.126,211.184,504
2026-04-06 14:25:00+00:00,211.184,211.205,211.166,211.2,324
2026-04-06 14:30:00+00:00,211.2,211.215,211.187,211.204,468
2026-04-06 14:35:00+00:00,211.204,211.247,211.196,211.241,455
2026-04-06 14:40:00+00:00,211.241,211.272,211.241,211.263,589
2026-04-06 14:45:00+00:00,211.263,211.293,211.24,211.255,541
2026-04-06 14:50:00+00:00,211.255,211.275,211.233,211.235,547
2026-04-06 14:55:00+00:00,211.235,211.247,211.198,211.198,538
2026-04-06 15:00:00+00:00,211.198,211.219,211.174,211.183,774
2026-04-06 15:05:00+00:00,211.183,211.209,211.173,211.191,407
2026-04-06 15:10:00+00:00,211.191,211.2,211.166,211.172,581
2026-04-06 15:15:00+00:00,211.172,211.19,211.148,211.155,612
2026-04-06 15:20:00+00:00,211.155,211.188,211.14,211.174,642
2026-04-06 15:25:00+00:00,211.174,211.188,211.169,211.18,553
2026-04-06 15:30:00+00:00,211.18,211.215,211.18,211.204,625
2026-04-06 15:35:00+00:00,211.204,211.213,211.172,211.208,726
2026-04-06 15:40:00+00:00,211.208,211.227,211.19,211.218,600
2026-04-06 15:45:00+00:00,211.218,211.25,211.164,211.165,608
2026-04-06 15:50:00+00:00,211.165,211.168,211.104,211.139,746
2026-04-06 15:55:00+00:00,211.139,211.16,211.121,211.139,703
2026-04-06 16:00:00+00:00,211.139,211.232,211.121,211.21,821
2026-04-06 16:05:00+00:00,211.21,211.272,211.158,211.242,918
2026-04-06 16:10:00+00:00,211.242,211.281,211.226,211.247,787
2026-04-06 16:15:00+00:00,211.247,211.267,211.221,211.221,688
2026-04-06 16:20:00+00:00,211.221,211.29,211.22,211.284,459
2026-04-06 16:25:00+00:00,211.284,211.344,211.262,211.331,497
2026-04-06 16:30:00+00:00,211.331,211.353,211.286,211.344,917
2026-04-06 16:35:00+00:00,211.344,211.376,211.32,211.366,895
2026-04-06 16:40:00+00:00,211.366,211.408,211.34,211.393,1086
2026-04-06 16:45:00+00:00,211.393,211.429,211.373,211.386,791
2026-04-06 16:50:00+00:00,211.386,211.44,211.363,211.435,613
2026-04-06 16:55:00+00:00,211.435,211.459,211.404,211.443,757
2026-04-06 17:00:00+00:00,211.443,211.49,211.303,211.309,1886
2026-04-06 17:05:00+00:00,211.309,211.36,211.305,211.323,1257
2026-04-06 17:10:00+00:00,211.322,211.374,211.288,211.374,784
2026-04-06 17:15:00+00:00,211.374,211.381,211.328,211.365,1161
2026-04-06 17:20:00+00:00,211.365,211.481,211.353,211.474,1081
2026-04-06 17:25:00+00:00,211.473,211.5,211.45,211.491,1372
