ts,open,high,low,close,volume
2026-03-30 18:50:00+00:00,71.105,71.203,71.012,71.175,878
2026-03-30 18:55:00+00:00,71.171,71.233,70.985,71.004,897
2026-03-30 19:00:00+00:00,71.004,71.023,70.689,70.726,896
2026-03-30 19:05:00+00:00,70.724,70.916,70.702,70.758,781
2026-03-30 19:10:00+00:00,70.76,70.975,70.741,70.948,752
2026-03-30 19:15:00+00:00,70.947,71.011,70.754,70.813,677
2026-03-30 19:20:00+00:00,70.812,70.869,70.739,70.747,683
2026-03-30 19:25:00+00:00,70.746,70.746,70.66,70.679,702
2026-03-30 19:30:00+00:00,70.679,70.834,70.593,70.776,772
2026-03-30 19:35:00+00:00,70.773,70.864,70.769,70.839,626
2026-03-30 19:40:00+00:00,70.839,70.948,70.835,70.937,623
2026-03-30 19:45:00+00:00,70.935,70.945,70.744,70.787,685
2026-03-30 19:50:00+00:00,70.788,70.817,70.717,70.72,607
2026-03-30 19:55:00+00:00,70.717,70.735,70.515,70.56,745
2026-03-30 20:00:00+00:00,70.554,70.646,70.424,70.437,854
2026-03-30 20:05:00+00:00,70.437,70.541,70.423,70.519,858
2026-03-30 20:10:00+00:00,70.517,70.533,70.297,70.359,908
2026-03-30 20:15:00+00:00,70.359,70.467,70.278,70.445,964
2026-03-30 20:20:00+00:00,70.44,70.492,70.299,70.492,930
2026-03-30 20:25:00+00:00,70.494,70.571,70.459,70.517,754
2026-03-30 20:30:00+00:00,70.502,70.528,70.263,70.333,893
2026-03-30 20:35:00+00:00,70.333,70.48,70.307,70.433,843
2026-03-30 20:40:00+00:00,70.431,70.568,70.41,70.55,783
2026-03-30 20:45:00+00:00,70.549,70.652,70.438,70.447,885
2026-03-30 20:50:00+00:00,70.448,70.525,70.385,70.432,799
2026-03-30 20:55:00+00:00,70.433,70.451,70.343,70.43,801
2026-03-30 21:00:00+00:00,70.432,70.57,70.412,70.419,772
2026-03-30 21:05:00+00:00,70.42,70.448,70.209,70.315,822
2026-03-30 21:10:00+00:00,70.316,70.438,70.291,70.412,772
2026-03-30 21:15:00+00:00,70.413,70.426,70.221,70.292,700
2026-03-30 21:20:00+00:00,70.293,70.322,70.149,70.217,769
2026-03-30 21:25:00+00:00,70.217,70.239,70.081,70.196,720
2026-03-30 21:30:00+00:00,70.196,70.333,70.184,70.304,491
2026-03-30 21:35:00+00:00,70.303,70.413,70.237,70.237,626
2026-03-30 21:40:00+00:00,70.234,70.355,70.224,70.343,551
2026-03-30 21:45:00+00:00,70.345,70.426,70.344,70.388,519
2026-03-30 21:50:00+00:00,70.387,70.411,70.105,70.129,651
2026-03-30 21:55:00+00:00,70.127,70.161,69.869,69.894,757
2026-03-30 22:00:00+00:00,69.892,69.951,69.729,69.827,703
2026-03-30 22:05:00+00:00,69.827,69.985,69.795,69.85,829
2026-03-30 22:10:00+00:00,69.851,69.863,69.624,69.732,943
2026-03-30 22:15:00+00:00,69.731,69.84,69.697,69.712,859
2026-03-30 22:20:00+00:00,69.712,69.909,69.62,69.805,844
2026-03-30 22:25:00+00:00,69.806,69.88,69.775,69.853,685
2026-03-30 22:30:00+00:00,69.853,70.009,69.738,69.997,800
2026-03-30 22:35:00+00:00,69.997,70.132,69.938,69.971,816
2026-03-30 22:40:00+00:00,69.973,70.023,69.913,69.954,826
2026-03-30 22:45:00+00:00,69.955,70.073,69.918,70.007,760
2026-03-30 22:50:00+00:00,70.008,70.08,69.96,70.004,857
2026-03-30 22:55:00+00:00,70.004,70.255,70.004,70.173,870
2026-03-30 23:00:00+00:00,70.172,70.196,69.963,69.975,441
2026-03-30 23:05:00+00:00,69.975,70.032,69.909,69.926,246
2026-03-30 23:10:00+00:00,69.926,70.205,69.913,70.189,343
2026-03-30 23:15:00+00:00,70.189,70.197,70.122,70.123,185
2026-03-30 23:20:00+00:00,70.123,70.124,69.94,69.97,221
2026-03-30 23:25:00+00:00,69.97,70.036,69.949,70.002,212
2026-03-30 23:30:00+00:00,70.002,70.015,69.89,69.924,152
2026-03-30 23:35:00+00:00,69.924,69.964,69.894,69.912,215
2026-03-30 23:40:00+00:00,69.912,70.025,69.899,69.958,261
2026-03-30 23:45:00+00:00,69.958,70.008,69.931,69.974,200
2026-03-30 23:50:00+00:00,69.974,70.082,69.972,70.002,221
2026-03-30 23:55:00+00:00,70.001,70.108,70.0,70.108,136
2026-03-31 01:00:00+00:00,70.043,70.483,70.043,70.274,412
2026-03-31 01:05:00+00:00,70.274,70.282,70.069,70.123,230
2026-03-31 01:10:00+00:00,70.123,70.222,70.023,70.065,296
2026-03-31 01:15:00+00:00,70.065,70.148,69.994,70.019,285
2026-03-31 01:20:00+00:00,70.019,70.055,69.895,69.923,243
2026-03-31 01:25:00+00:00,69.923,70.108,69.868,70.082,337
2026-03-31 01:30:00+00:00,70.083,70.132,69.987,70.075,240
2026-03-31 01:35:00+00:00,70.075,70.075,69.981,70.01,136
2026-03-31 01:40:00+00:00,70.01,70.02,69.916,69.916,156
2026-03-31 01:45:00+00:00,69.916,70.032,69.908,69.988,223
2026-03-31 01:50:00+00:00,69.989,70.073,69.987,70.049,239
2026-03-31 01:55:00+00:00,70.049,70.057,69.942,69.942,296
2026-03-31 02:00:00+00:00,69.942,69.942,69.704,69.775,489
2026-03-31 02:05:00+00:00,69.773,69.86,69.575,69.576,631
2026-03-31 02:10:00+00:00,69.576,69.67,69.545,69.643,509
2026-03-31 02:15:00+00:00,69.643,69.792,69.62,69.79,418
2026-03-31 02:20:00+00:00,69.79,69.87,69.772,69.772,391
2026-03-31 02:25:00+00:00,69.772,69.824,69.708,69.798,326
2026-03-31 02:30:00+00:00,69.798,69.827,69.722,69.786,314
2026-03-31 02:35:00+00:00,69.786,69.919,69.666,69.826,425
2026-03-31 02:40:00+00:00,69.826,69.979,69.773,69.961,399
2026-03-31 02:45:00+00:00,69.961,69.976,69.888,69.969,319
2026-03-31 02:50:00+00:00,69.969,70.023,69.92,69.922,296
2026-03-31 02:55:00+00:00,69.922,69.932,69.863,69.932,335
2026-03-31 03:00:00+00:00,69.932,70.181,69.852,70.178,788
2026-03-31 03:05:00+00:00,70.178,70.221,69.993,70.007,724
2026-03-31 03:10:00+00:00,70.007,70.082,69.817,69.849,719
2026-03-31 03:15:00+00:00,69.854,69.9,69.141,69.209,914
2026-03-31 03:20:00+00:00,69.213,69.284,69.02,69.269,877
2026-03-31 03:25:00+00:00,69.268,69.58,69.219,69.58,853
2026-03-31 03:30:00+00:00,69.58,69.63,69.407,69.534,704
2026-03-31 03:35:00+00:00,69.539,70.293,69.537,70.143,999
2026-03-31 03:40:00+00:00,70.142,70.415,69.923,70.392,1056
2026-03-31 03:45:00+00:00,70.397,70.615,70.278,70.291,1111
2026-03-31 03:50:00+00:00,70.291,70.61,70.148,70.558,1028
2026-03-31 03:55:00+00:00,70.556,70.686,70.455,70.655,1062
2026-03-31 04:00:00+00:00,70.66,70.931,70.517,70.688,1252
2026-03-31 04:05:00+00:00,70.682,70.725,70.44,70.689,1088
2026-03-31 04:10:00+00:00,70.69,70.828,70.491,70.805,1090
2026-03-31 04:15:00+00:00,70.81,71.44,70.782,71.39,1165
2026-03-31 04:20:00+00:00,71.391,71.638,71.274,71.638,1119
2026-03-31 04:25:00+00:00,71.638,71.847,71.474,71.846,1109
2026-03-31 04:30:00+00:00,71.848,72.692,71.848,72.574,1279
2026-03-31 04:35:00+00:00,72.576,72.935,72.57,72.818,1305
2026-03-31 04:40:00+00:00,72.817,73.472,72.815,73.447,1220
2026-03-31 04:45:00+00:00,73.446,73.468,72.895,73.048,1178
2026-03-31 04:50:00+00:00,73.048,73.174,72.717,72.996,1129
2026-03-31 04:55:00+00:00,72.996,73.207,72.785,72.86,1118
2026-03-31 05:00:00+00:00,72.891,72.92,72.478,72.629,1050
2026-03-31 05:05:00+00:00,72.629,72.888,72.502,72.772,963
2026-03-31 05:10:00+00:00,72.76,72.843,72.615,72.633,975
2026-03-31 05:15:00+00:00,72.633,72.836,72.555,72.622,869
2026-03-31 05:20:00+00:00,72.622,72.673,72.413,72.466,799
2026-03-31 05:25:00+00:00,72.463,72.481,72.322,72.393,732
2026-03-31 05:30:00+00:00,72.393,72.499,72.243,72.296,1104
2026-03-31 05:35:00+00:00,72.297,72.433,72.234,72.363,1016
2026-03-31 05:40:00+00:00,72.363,72.423,72.175,72.391,955
2026-03-31 05:45:00+00:00,72.391,72.425,71.829,71.94,1038
2026-03-31 05:50:00+00:00,71.944,72.283,71.913,72.055,977
2026-03-31 05:55:00+00:00,72.056,72.104,71.904,71.92,899
2026-03-31 06:00:00+00:00,71.915,72.205,71.864,72.176,933
2026-03-31 06:05:00+00:00,72.176,72.399,72.111,72.226,898
2026-03-31 06:10:00+00:00,72.226,72.317,72.182,72.184,835
2026-03-31 06:15:00+00:00,72.184,72.214,71.965,72.014,901
2026-03-31 06:20:00+00:00,72.015,72.151,71.842,71.861,872
2026-03-31 06:25:00+00:00,71.862,72.054,71.847,72.017,824
2026-03-31 06:30:00+00:00,72.019,72.119,71.942,72.094,554
2026-03-31 06:35:00+00:00,72.095,72.098,71.855,71.897,609
2026-03-31 06:40:00+00:00,71.897,72.019,71.845,71.874,562
2026-03-31 06:45:00+00:00,71.871,71.98,71.863,71.896,568
2026-03-31 06:50:00+00:00,71.896,72.077,71.896,72.008,562
2026-03-31 06:55:00+00:00,72.007,72.017,71.922,71.98,493
2026-03-31 07:00:00+00:00,71.98,72.08,71.973,72.013,551
2026-03-31 07:05:00+00:00,72.013,72.091,71.95,71.999,583
2026-03-31 07:10:00+00:00,71.996,72.147,71.975,71.98,458
2026-03-31 07:15:00+00:00,71.98,72.134,71.979,72.124,450
2026-03-31 07:20:00+00:00,72.127,72.193,72.043,72.044,527
2026-03-31 07:25:00+00:00,72.044,72.066,71.986,72.042,491
2026-03-31 07:30:00+00:00,72.042,72.184,72.027,72.175,572
2026-03-31 07:35:00+00:00,72.175,72.183,72.053,72.069,505
2026-03-31 07:40:00+00:00,72.069,72.256,72.007,72.224,489
2026-03-31 07:45:00+00:00,72.224,72.268,72.07,72.08,602
2026-03-31 07:50:00+00:00,72.08,72.258,72.08,72.223,543
2026-03-31 07:55:00+00:00,72.215,72.263,72.182,72.194,379
2026-03-31 08:00:00+00:00,72.194,72.307,72.169,72.27,577
2026-03-31 08:05:00+00:00,72.269,72.27,71.942,71.976,557
2026-03-31 08:10:00+00:00,71.976,71.989,71.577,71.577,751
2026-03-31 08:15:00+00:00,71.577,71.901,71.546,71.86,682
2026-03-31 08:20:00+00:00,71.86,72.039,71.68,72.036,653
2026-03-31 08:25:00+00:00,72.036,72.103,71.922,71.958,612
2026-03-31 08:30:00+00:00,71.959,72.278,71.658,72.273,1136
2026-03-31 08:35:00+00:00,72.277,72.452,72.248,72.33,998
2026-03-31 08:40:00+00:00,72.33,72.374,72.23,72.342,856
2026-03-31 08:45:00+00:00,72.342,72.524,72.324,72.462,888
2026-03-31 08:50:00+00:00,72.464,72.498,72.258,72.281,755
2026-03-31 08:55:00+00:00,72.281,72.33,72.089,72.136,779
2026-03-31 09:00:00+00:00,72.136,72.137,71.917,72.03,907
2026-03-31 09:05:00+00:00,72.021,72.062,71.917,71.923,832
2026-03-31 09:10:00+00:00,71.923,72.019,71.837,71.93,827
2026-03-31 09:15:00+00:00,71.931,71.993,71.794,71.825,777
2026-03-31 09:20:00+00:00,71.825,72.067,71.752,72.017,850
2026-03-31 09:25:00+00:00,72.019,72.102,71.875,71.926,830
2026-03-31 09:30:00+00:00,71.926,72.163,71.879,72.152,876
2026-03-31 09:35:00+00:00,72.152,72.182,71.992,72.133,780
2026-03-31 09:40:00+00:00,72.135,72.137,71.952,72.02,649
2026-03-31 09:45:00+00:00,72.023,72.142,71.969,72.072,642
2026-03-31 09:50:00+00:00,72.072,72.181,72.067,72.145,629
2026-03-31 09:55:00+00:00,72.145,72.189,72.022,72.054,659
2026-03-31 10:00:00+00:00,72.066,72.336,71.981,72.268,850
2026-03-31 10:05:00+00:00,72.268,72.388,72.171,72.205,654
2026-03-31 10:10:00+00:00,72.206,72.231,72.0,72.025,643
2026-03-31 10:15:00+00:00,72.026,72.088,71.617,71.703,645
2026-03-31 10:20:00+00:00,71.703,72.05,71.703,71.957,661
2026-03-31 10:25:00+00:00,71.957,72.18,71.834,72.135,683
2026-03-31 10:30:00+00:00,72.135,72.507,72.116,72.439,603
2026-03-31 10:35:00+00:00,72.439,72.647,72.439,72.473,654
2026-03-31 10:40:00+00:00,72.473,72.724,72.436,72.704,630
2026-03-31 10:45:00+00:00,72.704,72.79,72.639,72.657,561
2026-03-31 10:50:00+00:00,72.657,72.879,72.623,72.865,528
2026-03-31 10:55:00+00:00,72.865,73.118,72.785,73.078,618
2026-03-31 11:00:00+00:00,73.055,73.257,73.018,73.227,825
2026-03-31 11:05:00+00:00,73.227,73.285,72.965,72.997,732
2026-03-31 11:10:00+00:00,72.997,73.145,72.847,72.897,652
2026-03-31 11:15:00+00:00,72.898,73.093,72.893,73.028,664
2026-03-31 11:20:00+00:00,73.028,73.079,72.939,72.968,673
2026-03-31 11:25:00+00:00,72.968,73.087,72.902,73.075,608
2026-03-31 11:30:00+00:00,73.075,73.085,72.966,72.998,617
2026-03-31 11:35:00+00:00,72.999,73.291,72.999,73.066,621
2026-03-31 11:40:00+00:00,73.066,73.144,73.011,73.022,545
2026-03-31 11:45:00+00:00,73.022,73.186,73.021,73.182,617
2026-03-31 11:50:00+00:00,73.182,73.272,73.077,73.197,722
2026-03-31 11:55:00+00:00,73.197,73.198,73.062,73.089,585
2026-03-31 12:00:00+00:00,73.089,73.264,73.028,73.247,603
2026-03-31 12:05:00+00:00,73.247,73.325,73.137,73.193,545
2026-03-31 12:10:00+00:00,73.19,73.268,73.122,73.143,479
2026-03-31 12:15:00+00:00,73.143,73.22,73.028,73.113,485
2026-03-31 12:20:00+00:00,73.113,73.334,73.105,73.301,562
2026-03-31 12:25:00+00:00,73.301,73.34,73.078,73.079,633
2026-03-31 12:30:00+00:00,73.079,73.09,72.964,73.013,729
2026-03-31 12:35:00+00:00,73.013,73.062,72.844,72.851,669
2026-03-31 12:40:00+00:00,72.85,72.987,72.843,72.912,590
2026-03-31 12:45:00+00:00,72.912,72.924,72.837,72.895,448
2026-03-31 12:50:00+00:00,72.895,73.017,72.85,72.85,383
2026-03-31 12:55:00+00:00,72.85,72.856,72.685,72.775,479
2026-03-31 13:00:00+00:00,72.771,72.927,72.766,72.922,530
2026-03-31 13:05:00+00:00,72.922,73.136,72.888,73.122,475
2026-03-31 13:10:00+00:00,73.122,73.142,73.005,73.024,474
2026-03-31 13:15:00+00:00,73.026,73.031,72.872,72.882,464
2026-03-31 13:20:00+00:00,72.881,72.945,72.815,72.906,465
2026-03-31 13:25:00+00:00,72.906,72.928,72.736,72.815,453
2026-03-31 13:30:00+00:00,72.815,72.819,72.649,72.667,567
2026-03-31 13:35:00+00:00,72.666,72.709,72.274,72.28,752
2026-03-31 13:40:00+00:00,72.279,72.601,72.256,72.533,754
2026-03-31 13:45:00+00:00,72.533,72.547,72.372,72.433,688
2026-03-31 13:50:00+00:00,72.433,72.699,72.428,72.695,660
2026-03-31 13:55:00+00:00,72.695,72.726,72.541,72.624,491
2026-03-31 14:00:00+00:00,72.624,72.786,72.575,72.746,754
2026-03-31 14:05:00+00:00,72.748,72.785,72.593,72.63,565
2026-03-31 14:10:00+00:00,72.63,73.13,72.497,72.659,1178
2026-03-31 14:15:00+00:00,72.662,73.042,72.569,72.938,1063
2026-03-31 14:20:00+00:00,72.938,73.145,72.833,73.128,961
2026-03-31 14:25:00+00:00,73.128,73.275,73.03,73.035,900
2026-03-31 14:30:00+00:00,73.038,73.043,72.812,73.01,735
2026-03-31 14:35:00+00:00,73.011,73.283,72.915,73.231,655
2026-03-31 14:40:00+00:00,73.23,73.24,73.081,73.236,761
